




0:6:40,24.826521,-107.380158,86.80,52.00,26.40,26.60,100874.00,37.03,100876.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:50,24.826552,-107.380150,86.80,52.00,26.40,26.60,100873.00,37.12,100877.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:50,24.826552,-107.380150,86.80,52.00,26.40,26.60,100873.00,37.12,100877.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:50,24.826552,-107.380150,86.80,52.00,26.40,26.60,100873.00,37.12,100877.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:55,24.826564,-107.380146,86.80,52.00,26.50,26.70,100878.00,37.37,100878.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:55,24.826564,-107.380146,86.80,52.00,26.50,26.70,100878.00,37.37,100878.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:55,24.826564,-107.380146,86.80,52.00,26.50,26.70,100878.00,37.37,100878.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:55,24.826564,-107.380146,86.80,52.00,26.50,26.70,100878.00,37.37,100878.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:55,24.826564,-107.380146,86.80,52.00,26.50,26.70,100878.00,37.37,100878.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:58,24.826566,-107.380146,86.80,52.00,26.70,26.80,100874.00,36.86,100884.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:58,24.826566,-107.380146,86.80,52.00,26.70,26.80,100874.00,36.86,100884.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:58,24.826566,-107.380146,87.90,51.00,26.70,26.80,100880.00,36.36,100888.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:58,24.826566,-107.380146,87.90,51.00,26.70,26.80,100880.00,36.36,100888.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:58,24.826566,-107.380146,87.90,51.00,26.70,26.80,100880.00,36.36,100888.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:59,24.826566,-107.380146,87.90,51.00,26.80,26.90,100875.00,36.86,100880.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:6:59,24.826566,-107.380146,87.90,51.00,26.80,26.90,100875.00,36.86,100880.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:7:27,24.826568,-107.380155,87.90,51.00,26.90,26.90,100885.00,36.95,100886.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:7:27,24.826568,-107.380155,87.90,51.00,26.90,26.90,100885.00,36.95,100886.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:7:27,24.826568,-107.380155,88.20,51.00,26.90,26.90,100877.00,37.03,100882.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:7:27,24.826568,-107.380155,88.20,51.00,26.90,26.90,100877.00,37.03,100882.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:7:27,24.826568,-107.380155,88.20,51.00,26.90,26.90,100877.00,37.03,100882.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:7:27,24.826568,-107.380155,88.20,51.00,26.90,26.90,100877.00,37.03,100882.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:7:27,24.826568,-107.380155,88.20,51.00,26.90,26.90,100877.00,37.03,100882.00,1.17,-0.60,9.52,-0.07,0.01,-0.01

0:8:19,24.826510,-107.380144,101.10,50.00,27.50,27.30,100882.00,36.95,100882.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:8:25,24.826508,-107.380152,101.10,50.00,27.60,27.40,100877.00,36.45,100886.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
0:8:25,24.826508,-107.380152,101.10,50.00,27.60,27.40,100877.00,36.45,100886.00,1.17,-0.60,9.52,-0.07,0.01,-0.01

0:8:47,24.826451,-107.380165,103.50,49.00,27.80,27.60,100881.00,36.95,100879.00,1.17,-0.60,9.52,-0.07,0.01,-0.01
